kontrahent_id,nazwa,nip,regon,kraj,miasto,kod_pocztowy,ulica,email,telefon,typ,opiekun_handlowy,data_utworzenia,status
1,Kluczek Sp.k. Sp. J.,1043321817,734036506,PL,Tarnowskie Góry,32-229,ulica Kusocińskiego 81/96,kontakt@kluczek.pl,+48 15 130 21 37,klient,Antoni Trzos,2026-03-23,aktywny
2,Wujek-Soroko s.c. sp.k.,6184959312,149203558,PL,Szczecin,72-204,pl. Wyszyńskiego 940,kontakt@wujek-soroko.pl,+48 48 181 39 22,dostawca,Kaja Kiliszek,2023-09-04,aktywny
3,Spółdzielnia Wacławczyk Spółka z o.o.,2553419289,882893941,PL,Zambrów,44-105,aleja Strażacka 594,kontakt@spółdzielnia.pl,+48 31 573 58 44,oba,Róża Jałowiec,2023-01-08,aktywny
4,Bodzak Sp. z o.o. Sp. z o.o.,3056413959,328306011,pl,Zgorzelec,38-850,pl. Słowicza 10,kontakt@bodzak.pl,+48 61 758 68 28,dostawca,Aleks Mazanek,2022-02-14,aktywny
5,Różewicz-Wołk Sp.j. sp.k.,,647099690,PL,Tczew,59-651,plac Kołłątaja 341,kontakt@różewicz-wołk.pl,+48 22 873 16 24,klient,Ewelina Sadoch,2022-05-09,aktywny
6,Gierak-Obuchowicz Sp.j. S.A.,916-697-84-82,112327652,PL,Mielec,82 705,ul. Długosza 030,kontakt@gierak-obuchowicz.pl,+48 98 649 44 92,dostawca,pani Róża Ciepłuch,2021-10-22,aktywny
7,Basak-Westfal Sp.k. sp. z o.o.,7048281480,753876785,PL,Racibórz,28-672,al. Lazurowa 42,kontakt@basak-westfal.pl,+48 30 482 30 79,oba,Melania Cudzich,2020-07-25,aktywny
8,FPUH Prokopiak S.A.,0154303911,191969690,PL,Chojnice,75-409,plac Piłsudskiego 71/01,kontakt@fpuh.pl,+48 19 878 78 26,klient,Damian Jenek,2025-11-20,nieaktywny
9,PPUH Nurek Sp.j. sp. z o.o.,4896383468,821218382,PL,Kołobrzeg,77-480,al. Nałkowskiej 18,kontakt@ppuh.pl,+48 67 629 67 25,klient,Cyprian Duczmal,2023-01-29,aktywny
10,Fundacja Tylka Sp. z o.o.,9839301033,172370545,PL,Sanok,01-977,pl. Dąbrowskiej 81,kontakt@fundacja.pl,+48 53 172 75 40,dostawca,Dorota Ziarek,2026-01-01,aktywny
11,Furgała-Pyziak i syn s.c. sp. z o.o.,9973763117,807577342,PL,Jaworzno,70-977,ul. Hallera 701,kontakt@furgała-pyziak.pl,+48 56 533 62 69,oba,pani Aniela Drygas,2021-03-01,aktywny
12,Murat-Basak Sp. z o.o. Sp. J.,1065133388,581695135,PL,Olsztyn,94-498,ulica Warszawska 78/24,kontakt@murat-basak.pl,+48 65 287 45 69,klient,Bruno Brojek,2021-05-27,aktywny
13,Grzywnowicz-Padło Sp.j. sp.k.,1080132677,616854671,PL,Świecie,84-383,al. Miła 31,kontakt@grzywnowicz-padło.pl,+48 62 160 31 58,klient,pani Julita Dumała,2024-12-08,aktywny
