kontrahent_id,nazwa,nip,nip_status,dup_nip,dup_nazwa
1,Kluczek Sp.k. Sp. J.,1043321817,poprawny,True,True
2,Wujek-Soroko s.c. sp.k.,6184959312,poprawny,False,False
3,Spółdzielnia Wacławczyk Spółka z o.o.,2553419289,poprawny,False,False
4,Bodzak Sp. z o.o. Sp. z o.o.,3056413959,poprawny,False,False
5,Różewicz-Wołk Sp.j. sp.k.,,brak,False,False
6,Gierak-Obuchowicz Sp.j. S.A.,916-697-84-82,poprawny,False,False
7,Basak-Westfal Sp.k. sp. z o.o.,7048281480,poprawny,False,False
8,FPUH Prokopiak S.A.,0154303911,poprawny,True,True
9,PPUH Nurek Sp.j. sp. z o.o.,4896383468,poprawny,False,False
10,Fundacja Tylka Sp. z o.o.,9839301033,poprawny,True,True
11,Furgała-Pyziak i syn s.c. sp. z o.o.,9973763117,poprawny,False,False
12,Murat-Basak Sp. z o.o. Sp. J.,1065133388,poprawny,False,False
13,Grzywnowicz-Padło Sp.j. sp.k.,1080132677,poprawny,False,False
14,Pawełkiewicz-Zimniak Sp. z o.o. S.A.,4687234304,poprawny,False,False
15,Spółdzielnia Brojek S.A. sp.k.,2081219139,poprawny,False,False
16,Fundacja Sobuś Sp.k. sp.k.,9854353465,poprawny,False,False
17,SPÓŁDZIELNIA MIDURA S.A. SP. Z O.O.,,brak,False,False
18,Szóstak-Tomys Sp.j. Sp. z o.o.,2411824494,poprawny,False,False
19,FPUH Czenczek-Łyczek S.A. Sp. z o.o.,1640052420,poprawny,False,False
20,Kielczyk S.A. Sp. J.,2805982625,poprawny,False,False
21,PPUH Zinkiewicz-Klatka Sp. z o.o. Sp.k. Spółka z o.o.,2563421603,poprawny,False,False
22,PPUH Dmoch-Chomiuk s.c. Sp. J.,3654145865,poprawny,False,False
23,FPUH Ficner-Cieciora i syn s.c. sp.k.,6556981698,błędny,False,False
24,Spółdzielnia Adamaszek-Ziętal s.c. Sp. z o.o.,5951484655,poprawny,False,False
25,Araszkiewicz i syn s.c. sp. z o.o.,994-680-44-38,poprawny,False,False
26,Cofała Sp. z o.o. Sp.k. Sp. J.,2148951345,poprawny,False,False
27,Materek i syn s.c. Sp. J.,9367632017,poprawny,False,False
28,Gabinety Giersz Sp. z o.o.,8687277439,poprawny,False,False
29,Stowarzyszenie Sobkiewicz i syn s.c. Spółka z o.o.,3455812230,poprawny,False,False
30,Stowarzyszenie Jop-Sycz Sp. z o.o. Sp.k. sp. z o.o.,6690967058,poprawny,False,False
31,Spółdzielnia Gula-Strojna Sp.k. S.A.,8069901623,poprawny,False,False
32,PPUH Strycharz S.A.,4641708054,poprawny,False,False
33,Stowarzyszenie Gołofit-Koronkiewicz i syn s.c. sp. z o.o.,2719374528,poprawny,False,False
34,Latko-Więckiewicz Sp. z o.o. Sp.k. S.A.,6319314915,poprawny,False,False
35,Pronobis Sp.j. Spółka z o.o.,2849877699,poprawny,False,False
36,Zmyślony Sp.j. sp.k.,9650752732,poprawny,False,False
37,PPUH Hadaś Sp.k. sp. z o.o.,1367837778,poprawny,False,False
38,Parda-Żach Sp. z o.o. sp.k.,5788568556,poprawny,False,False
39,Kokosza-Sołek Sp.j. Sp. J.,8233749893,poprawny,False,False
40,Stowarzyszenie Pyszny sp.k.,0947775208,poprawny,False,False
41,FPUH Pastuszko i syn s.c. Sp. J.,0229413183,poprawny,False,False
42,Szykuła Sp.j. S.A.,4964990911,poprawny,False,False
43,Grupa Knieć-Wojtak Sp.k. sp.k.,1206797401,poprawny,False,False
44,Lampart S.A. Sp. J.,1024994716,poprawny,False,False
45,Fundacja Smoczyk S.A. Sp. z o.o.,6594013994,poprawny,False,False
46,FPUH Kościołek Sp. z o.o. sp. z o.o.,9671756557,poprawny,False,False
47,FPUH Bździuch-Wąsala i syn s.c. S.A.,8071545165,poprawny,False,False
48,PPUH Druszcz-Bartłomiejczyk Sp. z o.o. Sp.k. Spółka z o.o.,9770348241,poprawny,False,False
49,PPUH Maciocha Sp. z o.o.,8613171271,poprawny,False,False
50,Sady-Bednarowicz S.A. sp.k.,2639821468,poprawny,False,False
51,Spółdzielnia Pizoń S.A.,8755886755,poprawny,False,False
52,Szambelan-Sadza Sp. z o.o. Sp.k. Sp. J.,6627028950,poprawny,False,False
53,Grupa Kasznia Sp. z o.o. Sp. J.,2174596159,poprawny,False,False
54,Grupa Wiak Sp.k. Sp. J.,4316117248,poprawny,False,False
55,Spółdzielnia Sztuba-Damek Sp.j. sp. z o.o.,8692221967,poprawny,False,False
56,Szczerbiak S.A. Sp. J.,0748217598,poprawny,False,False
57,FPUH Malecha Sp. z o.o.,3695944066,poprawny,False,False
58,Cabała-Kanarek S.A. Spółka z o.o.,3953394211,poprawny,False,False
59,Fundacja Mila-Hyży s.c. Sp. z o.o.,4562328587,poprawny,False,False
60,Fuławka i syn s.c. S.A.,1236851602,poprawny,False,False
61,Stowarzyszenie Pabisiak Sp.k. Spółka z o.o.,1370985939,poprawny,False,False
62,Grupa Wygoda Sp. z o.o.,,brak,False,False
63,Kopciuch Sp. z o.o. Sp.k. Sp. J.,1796405370,poprawny,False,False
64,Grupa Sankiewicz-Drela Sp. z o.o. Spółka z o.o.,3171390050,poprawny,False,False
65,Spółdzielnia Duczek-Ciuła s.c. sp. z o.o.,5290422840,poprawny,False,False
66,Gabinety Miksza sp. z o.o.,1177589171,poprawny,False,False
67,Brachaczek-Jaskóła s.c. Sp. z o.o.,0766177113,poprawny,False,False
68,Stowarzyszenie Kominiak-Pietrek i syn s.c. sp.k.,8478961189,poprawny,False,False
69,FPUH Koczy i syn s.c. Sp. J.,1565452719,poprawny,False,False
70,Spółdzielnia Pyś sp.k.,8516560499,poprawny,False,False
71,Zapaśnik Sp. z o.o. Sp.k. Sp. z o.o.,5851493689,poprawny,False,False
72,Spółdzielnia Gosek-Bazyluk Sp.k. Spółka z o.o.,5502296128,poprawny,False,False
73,Stowarzyszenie Luberda-Mosiołek Sp.k. sp. z o.o.,5459910226,poprawny,False,False
74,Ciechowicz Sp.k. S.A.,6438156144,poprawny,False,True
75,Stowarzyszenie Gebauer-Rudyk Sp.k. Sp. z o.o.,0343244517,poprawny,False,False
76,FPUH Dubis Sp. J.,5160607156,poprawny,False,False
77,Fidura Sp. z o.o. Spółka z o.o.,9681645351,poprawny,False,False
78,Stowarzyszenie Heczko Sp.k. Spółka z o.o.,955-271-77-46,poprawny,False,False
79,FPUH Pacyga Sp.k. Sp. z o.o.,0541199869,poprawny,False,False
80,FPUH Katana sp.k.,2071518202,poprawny,True,True
81,Spółdzielnia Panicz Spółka z o.o.,6659051515,poprawny,False,False
82,Dorna i syn s.c. Sp. J.,2546291486,poprawny,False,False
83,Spółdzielnia Szwałek-Lesner i syn s.c. S.A.,3322141883,poprawny,False,False
84,Dyś Sp. z o.o. sp. z o.o.,9270653797,poprawny,False,False
85,Gabinety Mikita s.c. sp.k.,7746886235,poprawny,False,False
86,Fundacja Oczko Sp. z o.o. sp.k.,1412478266,poprawny,False,False
87,PPUH Lisoń-Stanuch Sp.j. sp. z o.o.,6153051528,poprawny,False,False
88,Fundacja Bieszke Sp.k. Sp. z o.o.,,brak,False,False
89,Grupa Tadych Sp.k. sp.k.,7117980897,poprawny,False,False
90,Mijas s.c. sp. z o.o.,1851888888,poprawny,False,True
91,Gabinety Żugaj i syn s.c. Spółka z o.o.,153-195-20-53,poprawny,False,False
92,Bączkiewicz i syn s.c. sp. z o.o.,1704303059,poprawny,False,False
93,Spółdzielnia Lipowicz Sp. z o.o.,5415667656,poprawny,False,False
94,FPUH Saran Sp.j. Sp. z o.o.,6928451152,poprawny,False,False
95,FPUH Indyk-Bulanda S.A. Sp. z o.o.,5964016583,poprawny,False,False
96,Klęczar Sp.k. sp. z o.o.,5569092757,poprawny,False,False
97,Klisz Sp. z o.o. Sp.k. Spółka z o.o.,3102786810,poprawny,False,False
98,Gabinety Tuzimek Sp. z o.o. Sp.k. sp. z o.o.,1727155183,poprawny,False,False
99,Gabinety Rozum sp.k.,3132370586,poprawny,False,False
100,Plona-Furgała i syn s.c. S.A.,7866912515,poprawny,False,False
101,Bracha Sp.j. sp. z o.o.,6801824222,poprawny,False,False
102,Grupa Jarka sp.k.,4249818293,poprawny,False,False
103,PPUH Dawidczyk Sp. z o.o. Sp. z o.o.,1094396908,poprawny,False,False
104,Fundacja Semik Sp. z o.o.,0276773598,poprawny,False,True
105,Gabinety Popielarczyk-Borkiewicz Sp. z o.o. Sp. z o.o.,5371473215,poprawny,False,False
106,Gabinety Radko sp.k.,5327877472,poprawny,True,True
107,Gabinety Niemira Spółka z o.o.,7974801623,poprawny,False,False
