produkt_id,indeks,nazwa,kategoria,jednostka_miary,cena_zakupu,cena_sprzedazy,stawka_vat,ean,producent,status,data_utworzenia
1,PRD-81271,Multi-tiered analyzing attitude,Odczynniki,szt,1615.97,2453.33,23,9148183786116,Stowarzyszenie Golus-Naglik Sp. z o.o.,aktywny,2021-12-15
2,PRD-97559,Cross-platform disintermediate monitoring,Materiały zużywalne,szt,992.94,1329.73,23,2790793684905,Spółdzielnia Nalazek-Cop S.A.,nieaktywny,2024-01-22
3,PRD-85591,Enhanced 5thgeneration throughput,Odczynniki,szt,3826.58,6009.21,23,6514594828779,FPUH Kubisz-Woronko Sp.k.,aktywny,2022-03-27
4,PRD-13334,Compatible web-enabled service-desk,Odczynniki,szt,2878.7,4231.14,23,4354791971065,PPUH Bulczak Sp.k.,aktywny,2024-02-01
5,PRD-50000,Vision-oriented scalable installation,Aparatura,szt,3531.26,4284.46,23,5148786556608,Dubis-Świergiel Sp. z o.o.,aktywny,2023-05-15
6,PRD-26434,Front-line national open system,Sprzęt laboratoryjny,szt,3736.67,6649.91,23,87527567146,Mularz Sp.k.,aktywny,2024-12-18
7,PRD-41810,Polarized dynamic support,Sprzęt laboratoryjny,szt,1909.07,2121.46,23%,96810687804,PPUH Kotala Sp.j.,aktywny,2023-05-25
8,PRD-67804,User-friendly multimedia parallelism,,szt,639.91,929.58,23,8884759126868,FPUH Niemira,aktywny,2020-11-21
9,PRD-35939,Optimized mission-critical contingency,Podłoża mikrobiologiczne,szt,1247.19,1435.47,23,8507172353415,Kalota Sp. z o.o.,aktywny,2025-10-29
10,PRD-75432,Multi-channeled clear-thinking artificial intelligence,Aparatura,szt,1213.02,2157.36,23,3361644710702,FPUH Ochał,aktywny,2025-08-04
11,PRD-48287,Cross-platform zero-defect application,Podłoża mikrobiologiczne,szt,2602.9,3081.47,23,1356704588941,Grupa Rajtar Sp. z o.o.,aktywny,2023-01-04
12,PRD-50000,Optional disintermediate flexibility,Odczynniki,szt,2797.34,4788.63,23,9675245285855,Stowarzyszenie Sierżant-Koloch Sp. z o.o.,nieaktywny,2022-03-07
13,PRD-28031,Streamlined static monitoring,Materiały zużywalne,pcs,1138.21,1589.47,23,4213823135860,Stowarzyszenie Pysz-Trzmiel S.A.,aktywny,2023-10-21
14,PRD-97349,Persevering 24hour moderator,Szkło laboratoryjne,szt,3542.02,4879.67,0.23,9539158981092,Grupa Dulemba,nieaktywny,2025-06-06
15,PRD-40662,Customizable zero-defect paradigm,,szt,3011.06,5314.9,23 %,6611593420180,Czerniec Sp. z o.o. Sp.k.,aktywny,2023-01-08
16,PRD-82264,Stand-alone exuding hierarchy,Sprzęt laboratoryjny,szt,2224.43,2508.15,23,9082416342317,Stowarzyszenie Dudko,aktywny,2025-05-04
17,PRD-15207,Robust methodical circuit,Materiały zużywalne,sztuka,2066.31,2910.56,23,5088278023667,Fundacja Basista-Gryga Sp.j.,aktywny,2025-09-05
18,PRD-78296,Customizable radical contingency,Szkło laboratoryjne,szt,3094.23,3784.98,23,7462216749011,Fundacja Kobak Sp. z o.o.,aktywny,2021-05-08
19,PRD-99350,Front-line leadingedge knowledge user,Szkło laboratoryjne,szt,3283.37,5234.02,23,4292492597954,Sudak i syn s.c.,aktywny,2022-09-14
20,PRD-71286,Synergistic motivating middleware,Podłoża mikrobiologiczne,szt,1278.4,1641.91,23,72710070679,Gabinety Tylus i syn s.c.,aktywny,2025-10-27
21,PRD-10432,Optimized disintermediate paradigm,,szt,3933.71,7070.82,0.23,7594834176368,Fundacja Łój,aktywny,2023-11-23
22,PRD-89878,Devolved user-facing initiative,Szkło laboratoryjne,szt,2267.54,3501.01,23,4480639343871,Gabinety Sulich s.c.,aktywny,2025-09-03
23,PRD-64342,Face-to-face 4thgeneration hub,Sprzęt laboratoryjny,kpl,1514.65,2063.12,23,2244547076824,Fundacja Działo,aktywny,2020-09-08
24,PRD-50000,Persevering bandwidth-monitored customer loyalty,Odczynniki,szt,3248.41,5632.63,23,5526136205693,Gabinety Cichos-Klyszcz Sp.j.,aktywny,2024-08-01
25,PRD-58599,User-friendly executive analyzer,Szkło laboratoryjne,szt,1115.23,1314.28,23,6919894345814,Osipowicz-Grabias S.A.,aktywny,2022-09-04
26,PRD-90259,Synergized solution-oriented structure,Odczynniki,szt,2833.39,4552.9,23,6172648238485,FPUH Kłosowicz,aktywny,2025-03-12
27,PRD-24383,Cloned exuding framework,Podłoża mikrobiologiczne,kpl,836.64,1310.66,23,2751989019722,Fundacja Balas Sp.j.,aktywny,2025-03-01
28,PRD-98149,Optimized demand-driven superstructure,Sprzęt laboratoryjny,szt,1994.05,2606.16,23%,5034816351217,Borysewicz-Łuszczyk Sp.k.,aktywny,2024-07-18
29,PRD-53932,Customizable asynchronous workforce,Podłoża mikrobiologiczne,szt,2937.87,3106.39,23%,5428242014542,Fundacja Citko Sp. z o.o.,aktywny,2023-03-22
30,PRD-28659,Synergized exuding conglomeration,Sprzęt laboratoryjny,szt,1989.03,3463.27,23,5588044087022,Ludwiniak S.A.,aktywny,2026-01-07
31,PRD-71095,Implemented multimedia emulation,Odczynniki,opak,3373.9,5533.65,23,4035160744406,Czuj Sp.j.,aktywny,2021-10-24
32,PRD-18274,Public-key user-facing instruction set,,kpl,564.01,626.13,23,95327294365,Zdonek-Ciochoń Sp. z o.o. Sp.k.,nieaktywny,2024-01-02
33,PRD-51963,Polarized 4thgeneration extranet,,szt,2700.61,4337.97,23,2241760967093,Stowarzyszenie Glegoła s.c.,nieaktywny,2025-07-04
